date,open,high,low,close,volume,NVT
2016-09-29,4040.12,4054.0,4023.5,4041.99,879313.2297,62.49438181
2016-09-30,4041.88,4050.0,4032.18,4043.65,663659.6203,62.49438181
2016-10-01,4043.65,4115.42,4040.3,4108.69,1156629.0420000001,94.11658687
2016-10-02,4108.69,4111.0,4075.0,4079.59,781177.449,94.11658687
2016-10-03,4079.59,4098.56,4078.36,4087.11,476285.0134,63.59966628
2016-10-04,4087.11,4092.0,4055.0,4078.6,499425.4,63.59966628
2016-10-05,4078.67,4105.0,4064.34,4097.09,497942.2473,65.41538264
2016-10-06,4097.09,4105.99,4086.68,4094.44,496064.0095,65.41538264
2016-10-07,4094.44,4134.32,4088.06,4122.95,676813.1592,68.57193874
2016-10-08,4122.99,4141.41,4113.9,4119.67,435318.3094,68.57193874
2016-10-09,4119.79,4128.97,4097.0,4115.55,592764.4032,82.72369862
2016-10-10,4115.55,4162.0,4104.5,4131.6,794818.2390000001,82.72369862
2016-10-11,4131.43,4330.0,4131.35,4289.0,1477316.404,52.3587516
2016-10-12,4288.9,4366.0,4285.1,4311.13,1696412.041,52.3587516
2016-10-13,4311.22,4325.0,4286.23,4310.97,1314927.3159999999,61.27278195
2016-10-14,4310.93,4343.43,4286.15,4316.33,936073.9683,61.27278195
2016-10-15,4316.34,4340.0,4314.0,4327.45,762084.0832,78.60349735
2016-10-16,4327.44,4364.0,4295.0,4335.5,782025.9793,78.60349735
2016-10-17,4335.5,4350.0,4325.1,4334.82,533630.9684,62.54652058
2016-10-18,4334.82,4346.96,4316.0,4329.33,996626.5783,62.54652058
2016-10-19,4329.48,4333.99,4222.2,4238.8,1228297.882,65.14319996
2016-10-20,4238.72,4272.55,4228.0,4259.25,989994.7981,65.14319996
2016-10-21,4259.45,4295.0,4247.55,4288.37,672675.0054,63.986327
2016-10-22,4288.31,4555.0,4286.86,4496.68,1675217.574,63.986327
